pasta,identifier,filename,Formato,titulo,size,Link
EDUCAÇÃO FÍSICA - VINICIUS,MODULO_3-UNIDADE_1-EDUCACAO_FISICA-VINICIUS_PIFFER_BRESCHILIARE,MÓDULO 3 - UNIDADE 1 - EDUCAÇÃO FÍSICA - VINICIUS PIFFER BRESCHILIARE,p4,MÓDULO 3 - UNIDADE 1 - EDUCAÇÃO FÍSICA - VINICIUS PIFFER BRESCHILIARE.mp4,1280x720,https://vfvideos.nyc3.digitaloceanspaces.com/kraush-unicv/video/MODULO_3-UNIDADE_1-EDUCACAO_FISICA-VINICIUS_PIFFER_BRESCHILIARE/qualidade-720.mp4
EDUCAÇÃO FÍSICA - VINICIUS,MODULO_3-UNIDADE_3-EDUCACAO_FISICA-VINICIUS_PIFFER_BRESCHILIARE,MÓDULO 3 - UNIDADE 3 - EDUCAÇÃO FÍSICA - VINICIUS PIFFER BRESCHILIARE,p4,MÓDULO 3 - UNIDADE 3 - EDUCAÇÃO FÍSICA - VINICIUS PIFFER BRESCHILIARE.mp4,1280x720,https://vfvideos.nyc3.digitaloceanspaces.com/kraush-unicv/video/MODULO_3-UNIDADE_3-EDUCACAO_FISICA-VINICIUS_PIFFER_BRESCHILIARE/qualidade-720.mp4
EDUCAÇÃO FÍSICA - VINICIUS,MODULO_3-UNIDADE_2-EDUCACAO_FISICA-VINICIUS_PIFFER_BRESCHILIARE,MÓDULO 3 - UNIDADE 2 - EDUCAÇÃO FÍSICA - VINICIUS PIFFER BRESCHILIARE,p4,MÓDULO 3 - UNIDADE 2 - EDUCAÇÃO FÍSICA - VINICIUS PIFFER BRESCHILIARE.mp4,1280x720,https://vfvideos.nyc3.digitaloceanspaces.com/kraush-unicv/video/MODULO_3-UNIDADE_2-EDUCACAO_FISICA-VINICIUS_PIFFER_BRESCHILIARE/qualidade-720.mp4
EDUCAÇÃO FÍSICA - VINICIUS,AULA_EDUCACAO_FISICA,AULA EDUCAÇÃO FÍSICA,p4,AULA EDUCAÇÃO FÍSICA.mp4,1280x720,https://vfvideos.nyc3.digitaloceanspaces.com/kraush-unicv/video/AULA_EDUCACAO_FISICA/qualidade-720.mp4
EDUCAÇÃO FÍSICA - VINICIUS,RESUMO_MODULO_2_EDUCACAO_FISICA,Resumo Módulo 2 Educação Física,p4,Resumo Módulo 2 Educação Física.mp4,1280x720,https://vfvideos.nyc3.digitaloceanspaces.com/kraush-unicv/video/RESUMO_MODULO_2_EDUCACAO_FISICA/qualidade-720.mp4
EDUCAÇÃO FÍSICA - VINICIUS,AULA_1_AO_VIVO-EDUCACAO_FISICA_EJA-TURMA_3_MODULO_1_2024-04-18_20_00_GMT-3,AULA 1 AO VIVO - EDUCAÇÃO FÍSICA _ EJA - TURMA 3_MÓDULO 1 (2024-04-18 20_00 GMT-3),p4,AULA 1 AO VIVO - EDUCAÇÃO FÍSICA _ EJA - TURMA 3_MÓDULO 1 (2024-04-18 20_00 GMT-3).mp4,1280x720,https://vfvideos.nyc3.digitaloceanspaces.com/kraush-unicv/video/AULA_1_AO_VIVO-EDUCACAO_FISICA_EJA-TURMA_3_MODULO_1_2024-04-18_20_00_GMT-3/qualidade-720.mp4
EDUCAÇÃO INFANTIL E A BNCC,COPIA_DE_AULA_01_ME_LUCIENE_MARIA_PIRES_PEREIRA_EDUCACAO_INFANTIL_E_A_BNCC,Cópia de AULA 01_Me. Luciene Maria Pires Pereira_EDUCAÇÃO INFANTIL E A BNCC,p4,AULA 01 EDUCAÇÃO INFANTIL E A BNCC.mp4,1280x720,https://vfvideos.nyc3.digitaloceanspaces.com/kraush-unicv/video/COPIA_DE_AULA_01_ME_LUCIENE_MARIA_PIRES_PEREIRA_EDUCACAO_INFANTIL_E_A_BNCC/qualidade-720.mp4
EDUCAÇÃO INFANTIL E A BNCC,COPIA_DE_AULA_02_ME_LUCIENE_MARIA_PIRES_PEREIRA_EDUCACAO_INFANTIL_E_A_BNCC,Cópia de AULA 02_Me. Luciene Maria Pires Pereira_EDUCAÇÃO INFANTIL E A BNCC,p4,AULA 02 EDUCAÇÃO INFANTIL E A BNCC.mp4,1280x720,https://vfvideos.nyc3.digitaloceanspaces.com/kraush-unicv/video/COPIA_DE_AULA_02_ME_LUCIENE_MARIA_PIRES_PEREIRA_EDUCACAO_INFANTIL_E_A_BNCC/qualidade-720.mp4
EDUCAÇÃO INFANTIL E A BNCC,COPIA_DE_AULA_03_ME_LUCIENE_MARIA_PIRES_PEREIRA_EDUCACAO_INFANTIL_E_A_BNCC,Cópia de AULA 03_Me. Luciene Maria Pires Pereira_EDUCAÇÃO INFANTIL E A BNCC,p4,AULA 03  EDUCAÇÃO INFANTIL E A BNCC,1280x720,https://vfvideos.nyc3.digitaloceanspaces.com/kraush-unicv/video/COPIA_DE_AULA_03_ME_LUCIENE_MARIA_PIRES_PEREIRA_EDUCACAO_INFANTIL_E_A_BNCC/qualidade-720.mp4
EDUCAÇÃO INFANTIL E A BNCC,COPIA_DE_AULA_04_ME_LUCIENE_MARIA_PIRES_PEREIRA_EDUCACAO_INFANTIL_E_A_BNCC,Cópia de AULA 04_Me. Luciene Maria Pires Pereira_EDUCAÇÃO INFANTIL E A BNCC,p4,AULA 04 EDUCAÇÃO INFANTIL E A BNCC,1280x720,https://vfvideos.nyc3.digitaloceanspaces.com/kraush-unicv/video/COPIA_DE_AULA_04_ME_LUCIENE_MARIA_PIRES_PEREIRA_EDUCACAO_INFANTIL_E_A_BNCC/qualidade-720.mp4
EJA,MODULO_1-RESUMO_PARA_AVALIACAO,MÓDULO 1 - RESUMO PARA AVALIAÇÃO,p4,MÓDULO 1 - RESUMO PARA AVALIAÇÃO.mp4,1280x720,https://vfvideos.nyc3.digitaloceanspaces.com/kraush-unicv/video/MODULO_1-RESUMO_PARA_AVALIACAO/qualidade-720.mp4
Ensino Fundamental e a BNCC,COPIA_DE_AULA_01_CINTIA_BORTOLOSSI_ENSINO_FUNDAMENTAL_E_BNCC,Cópia de AULA 01_Cíntia Bortolossi_ENSINO FUNDAMENTAL E BNCC,p4,AULA 01_Cíntia Bortolossi_ENSINO FUNDAMENTAL E BNCC.mp4,1280x720,https://vfvideos.nyc3.digitaloceanspaces.com/kraush-unicv/video/COPIA_DE_AULA_01_CINTIA_BORTOLOSSI_ENSINO_FUNDAMENTAL_E_BNCC/qualidade-720.mp4
Ensino Fundamental e a BNCC,COPIA_DE_AULA_02_CINTIA_BORTOLOSSI_ENSINO_FUNDAMENTAL_E_BNCC,Cópia de AULA 02_Cíntia Bortolossi_ENSINO FUNDAMENTAL E BNCC,p4,AULA 02_Cíntia Bortolossi_ENSINO FUNDAMENTAL E BNCC.mp4,1280x720,https://vfvideos.nyc3.digitaloceanspaces.com/kraush-unicv/video/COPIA_DE_AULA_02_CINTIA_BORTOLOSSI_ENSINO_FUNDAMENTAL_E_BNCC/qualidade-720.mp4
Ensino Fundamental e a BNCC,COPIA_DE_AULA_03_CINTIA_BORTOLOSSI_ENSINO_FUNDAMENTAL_E_BNCC,Cópia de AULA 03_Cíntia Bortolossi_ENSINO FUNDAMENTAL E BNCC,p4,AULA 03_Cíntia Bortolossi_ENSINO FUNDAMENTAL E BNCC.mp4,1280x720,https://vfvideos.nyc3.digitaloceanspaces.com/kraush-unicv/video/COPIA_DE_AULA_03_CINTIA_BORTOLOSSI_ENSINO_FUNDAMENTAL_E_BNCC/qualidade-720.mp4
